i_subj_all,i_subj_curr,olife_total,i_onset,i_ori,i_trial,contrast,correct
0,0,50,0,0,122,0.0105419908785,1
0,0,50,0,0,123,0.010132827726,0
0,0,50,0,0,124,0.0089981810614500005,0
0,0,50,0,0,125,0.0125975628267,0
0,0,50,0,0,126,0.0116386492124,0
0,0,50,0,0,127,0.0139080574401,0
0,0,50,0,0,128,0.018348911888299999,1
0,0,50,0,0,129,0.0176367410356,0
0,0,50,0,0,130,0.0219267473268,1
0,0,50,0,0,131,0.021075711012800001,1
0,0,50,0,0,132,0.020257705717800001,1
0,0,50,0,0,133,0.019089840169700001,1
0,0,50,0,0,134,0.0123506707548,1
0,0,50,0,0,135,0.0105419908785,1
0,0,50,0,0,136,0.0153548797031,1
0,0,50,0,0,137,0.0091780562771299999,0
0,0,50,0,0,138,0.00954866579911,0
0,0,50,0,0,139,0.0123506707548,1
0,0,50,0,0,140,0.0159749090922,1
0,0,50,0,0,141,0.0091780562771299999,1
0,0,50,0,0,142,0.0084794320084199994,0
0,0,50,0,0,143,0.015661826438200001,1
0,0,50,0,0,144,0.0091780562771299999,0
0,0,50,0,0,145,0.0133682481486,0
0,0,50,0,0,146,0.0133682481486,1
0,0,50,0,0,147,0.016952211458200001,0
0,0,50,0,0,148,0.0133682481486,0
0,0,50,0,0,149,0.020662660803800002,1
0,0,50,0,0,150,0.019860687103499999,1
0,0,50,0,0,151,0.0172910891349,0
0,0,50,0,0,152,0.020662660803800002,1
0,0,50,0,0,153,0.019860687103499999,1
0,0,50,0,0,154,0.0109676760216,0
0,0,50,0,0,155,0.0194714494187,1
0,0,50,0,0,156,0.010132827726,1
0,0,50,0,0,157,0.0089981810614500005,0
0,0,50,0,0,158,0.019089840169700001,1
0,0,50,0,0,159,0.015661826438200001,1
0,0,50,0,0,160,0.033226911242099998,1
0,0,50,0,0,161,0.0109676760216,0
0,0,50,0,0,162,0.045606399576499999,1
0,0,50,0,0,163,0.033226911242099998,1
0,0,50,0,0,164,0.0232681672947,1
0,0,50,0,0,165,0.0109676760216,1
0,0,50,0,0,166,0.0051697203218499998,1
